school,district,last_open_year,closed_for_sy,enrollment,level,city,county_fips,locale,town_lost_last_school,successor_school
Isonville Elementary School,Elliott County,2019,2020,73,elementary,Isonville,21063,43,True,
Lakeside Elementary School,Elliott County,2019,2020,187,elementary,Sandy Hook,21063,43,False,
Model Laboratory Elementary School,Madison County,2019,2020,294,elementary,Richmond,21151,32,False,
Model Laboratory High School,Madison County,2019,2020,409,high,Richmond,21151,32,False,
McCreary Academy,McCreary County,2019,2020,75,high,Stearns,21147,43,False,
West Point Elementary School,West Point Independent,2019,2020,149,elementary,West Point,21093,41,False,
APEX Academy,Anderson County,2020,2021,467,high,Lawrenceburg,21005,32,False,
Lowes Elementary School,Graves County,2020,2021,239,elementary,Hickory,21083,42,True,
Letcher Elementary School,Letcher County,2020,2021,276,elementary,Blackey,21133,43,False,
Star Academy High School,Marshall County,2020,2021,12,high,Benton,21157,42,False,
Botts Elementary School,Menifee County,2020,2021,154,elementary,Denniston,21165,43,False,
Menifee Elementary School,Menifee County,2020,2021,477,elementary,Frenchburg,21165,43,False,
Green River School,Butler County,2021,2022,7,high,Cromwell,21031,42,True,
Ramey-Estep High School,Boyd County,2022,2023,39,high,Rush,21019,42,False,
Marie Roberts-Caney Elementary School,Breathitt County,2022,2023,231,elementary,Lost Creek,21025,42,True,
E P Ward Elementary School,Fleming County,2022,2023,180,elementary,Wallingford,21069,42,True,
Earlington Elementary School,Hopkins County,2022,2023,277,elementary,Earlington,21107,41,True,
Brandenburg High School,Meade County,2022,2023,9,high,Brandenburg,21163,42,False,
Leatherwood Elementary School,Perry County,2022,2023,102,elementary,Leatherwood,21193,42,True,
