source_file,school,demographic_or_level,field,value
KYRC25_ACCT_Index_Scores.csv,All Schools,Male,Climate Index,63.5
KYRC25_ACCT_Index_Scores.csv,All Schools,Male,Safety Index,61.6
KYRC25_ACCT_Index_Scores.csv,All Schools,African American,Climate Index,62.7
KYRC25_ACCT_Index_Scores.csv,All Schools,African American,Safety Index,59.8
KYRC25_ACCT_Index_Scores.csv,All Schools,American Indian or Alaska Native,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,All Schools,American Indian or Alaska Native,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,All Schools,Asian,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,All Schools,Asian,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,All Schools,Hispanic or Latino,Climate Index,64.6
KYRC25_ACCT_Index_Scores.csv,All Schools,Hispanic or Latino,Safety Index,60.7
KYRC25_ACCT_Index_Scores.csv,All Schools,Native Hawaiian or Pacific Islander,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,All Schools,Native Hawaiian or Pacific Islander,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,All Schools,Two or More Races,Climate Index,57.2
KYRC25_ACCT_Index_Scores.csv,All Schools,Two or More Races,Safety Index,49.4
KYRC25_ACCT_Index_Scores.csv,All Schools,White (non-Hispanic),Climate Index,64.5
KYRC25_ACCT_Index_Scores.csv,All Schools,White (non-Hispanic),Safety Index,60.7
KYRC25_ACCT_Index_Scores.csv,All Schools,Economically Disadvantaged,Climate Index,62.7
KYRC25_ACCT_Index_Scores.csv,All Schools,Economically Disadvantaged,Safety Index,59.1
KYRC25_ACCT_Index_Scores.csv,All Schools,Non Economically Disadvantaged,Climate Index,66.0
KYRC25_ACCT_Index_Scores.csv,All Schools,Non Economically Disadvantaged,Safety Index,61.6
KYRC25_ACCT_Index_Scores.csv,All Schools,Students with Disabilities (IEP),Climate Index,65.3
KYRC25_ACCT_Index_Scores.csv,All Schools,Students with Disabilities (IEP),Safety Index,62.2
KYRC25_ACCT_Index_Scores.csv,All Schools,Alternate Assessment,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,All Schools,Alternate Assessment,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,All Schools,Student without Disabilities (IEP),Climate Index,64.1
KYRC25_ACCT_Index_Scores.csv,All Schools,Student without Disabilities (IEP),Safety Index,60.0
KYRC25_ACCT_Index_Scores.csv,All Schools,English Learner including Monitored,Climate Index,59.9
KYRC25_ACCT_Index_Scores.csv,All Schools,English Learner including Monitored,Safety Index,59.4
KYRC25_ACCT_Index_Scores.csv,All Schools,English Learner,Climate Index,59.9
KYRC25_ACCT_Index_Scores.csv,All Schools,English Learner,Safety Index,59.4
KYRC25_ACCT_Index_Scores.csv,All Schools,Non English Learner,Climate Index,64.3
KYRC25_ACCT_Index_Scores.csv,All Schools,Non English Learner,Safety Index,60.2
KYRC25_ACCT_Index_Scores.csv,All Schools,Non-English Learner or monitored,Climate Index,64.3
KYRC25_ACCT_Index_Scores.csv,All Schools,Non-English Learner or monitored,Safety Index,60.2
KYRC25_ACCT_Index_Scores.csv,All Schools,Foster Care,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,All Schools,Foster Care,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,All Schools,Non-Foster,Climate Index,64.1
KYRC25_ACCT_Index_Scores.csv,All Schools,Non-Foster,Safety Index,60.2
KYRC25_ACCT_Index_Scores.csv,All Schools,Homeless,Climate Index,61.7
KYRC25_ACCT_Index_Scores.csv,All Schools,Homeless,Safety Index,58.5
KYRC25_ACCT_Index_Scores.csv,All Schools,Non-Homeless,Climate Index,64.3
KYRC25_ACCT_Index_Scores.csv,All Schools,Non-Homeless,Safety Index,60.3
KYRC25_ACCT_Index_Scores.csv,All Schools,Migrant,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,All Schools,Migrant,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,All Schools,Non-Migrant,Climate Index,64.2
KYRC25_ACCT_Index_Scores.csv,All Schools,Non-Migrant,Safety Index,60.2
KYRC25_ACCT_Index_Scores.csv,All Schools,Military Dependent,Climate Index,*
KYRC25_ACCT_Index_Scores.csv,All Schools,Military Dependent,Safety Index,*
KYRC25_ACCT_Index_Scores.csv,All Schools,Non-Military,Climate Index,64.2
KYRC25_ACCT_Index_Scores.csv,All Schools,Non-Military,Safety Index,60.2
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,All Students,Climate Index,76.5
KYRC25_ACCT_Index_Scores.csv,Bourbon Central Elementary School,All Students,Safety Index,72.3
