district,leaid,closed_for_sy,schools_closed,students_displaced,includes_elementary,town_lost_last_school,new_school_built_within_2yrs,school_names,district_exp_pre,district_enr_pre,district_exp_post3,district_enr_post3,state_median_exp_growth,gap_vs_trend_per_year,gap_per_displaced_student,flag_plausible_magnitude,flag_finance_clean,score_pre,score_post3,score_change_vs_state
Lincoln County,2103480,2006,1,142,True,False,True,KINGS MOUNTAIN ELEMENTARY SCHOOL,34269000,4637,40075000,4075,0.2005,1064307,7495,True,True,,,
Lincoln County,2103480,2016,1,286,False,False,False,Lloyd Mcguffey Sixth Grade Center,40397000,4045,41252000,3773,0.1339,4552546,15918,False,True,46.0,44.5,-0.5
Lincoln County,2103480,2019,2,161,True,False,False,McKinney Elementary School; Fort Logan School,,,,,,,,,False,,,
Livingston County,2103510,1995,2,236,True,False,True,HAMPTON EL; SALEM EL,,,,,,,,,False,,,
Livingston County,2103510,2005,3,463,True,True,True,GRAND RIVERS ELEMENTARY SCHOOL; LEDBETTER ELEMENTARY SCHOOL; SMITHLAND ELEMENTARY SCHOOL,10295000,1398,10688000,1335,0.2574,2256940,4875,True,True,,,
Logan County,2103540,1996,9,1808,True,False,True,ADAIRVILLE EL; AUBURN EL; CHANDLERS EL; OLMSTEAD EL; ADAIRVILLE MID; AUBURN MID; CHANDLERS MID; LEWISBURG MIDDLE SCHOOL; OLMSTEAD MID,,,,,,,,,False,,,
Madison County,2103720,2014,1,314,True,False,True,MAYFIELD ELEMENTARY SCHOOL,93616000,11356,101659000,11877,0.0667,-1803461,-5744,True,True,52.0,54.0,0.5
Madison County,2103720,2015,1,15,False,False,False,Middle College at Eastern Kentucky,90252000,11603,111911000,11758,0.1627,-6972474,-464832,False,True,51.0,55.5,2.0
Madison County,2103720,2019,1,190,False,False,True,Model Laboratory Middle School,,,,,,,,,False,,,
Madison County,2103720,2020,2,703,True,False,True,Model Laboratory Elementary School; Model Laboratory High School,,,,,,,,,False,,,
Magoffin County,2103750,1999,1,122,True,False,False,MAGOFFIN ELEM,15203000,2788,17795000,2613,0.2045,517007,4238,True,True,,,
Magoffin County,2103750,2008,5,756,True,True,True,JOHN T ARNETT ELEMENTARY SCHOOL; MIDDLE FORK ELEMENTARY SCHOOL; MILLARD HENSLEY ELEMENTARY SCHOOL; PRATER BORDERS ELEMENTARY SCHOOL; SALYER ELEMENTARY SCHOOL,20590000,2357,24458000,2222,0.1356,-1075012,-1422,True,True,,,
Marion County,2103780,2017,1,257,False,False,True,Saint Charles Middle School,30206000,3255,36593000,3309,0.1323,-2391537,-9306,True,True,,,
Marshall County,2103810,2016,1,256,False,False,True,Benton Middle School,43816000,4924,49988000,4771,0.1339,-306786,-1198,True,True,55.0,45.0,-9.0
Marshall County,2103810,2021,1,12,False,False,False,Star Academy High School,,,,,,,,,False,,,
Martin County,2103840,1997,1,55,True,False,False,MOUTH OF TURKEY EL,15147000,2891,16870000,2650,0.1319,275397,5007,True,True,,,
Martin County,2103840,2000,2,341,True,False,True,GRASSY EL; TOMAHAWK EL,16099000,2745,18683000,2535,0.1769,264360,775,True,True,,,
Martin County,2103840,2002,1,203,True,True,True,TOMAHAWK ELEMENTARY SCHOOL,17911000,2221,18828000,3038,0.1875,2442009,12030,True,True,,,
Martin County,2103840,2004,1,130,True,True,False,MOUTH OF PIGEON ROOST ELEM SCHOOL,18683000,2535,19835000,2214,0.2139,2845075,21885,False,True,,,
Martin County,2103840,2013,2,477,False,False,True,INEZ MIDDLE SCHOOL; WARFIELD MIDDLE SCHOOL,22492000,2232,21559000,2092,0.0374,1773672,3718,True,True,37.5,41.5,-2.5
Mason County,2103870,1997,1,31,True,False,False,BUFFALO TRACE REG. ALT SCH,14650000,2813,16858000,2751,0.1319,-275174,-8877,True,True,,,
Mason County,2103870,2005,1,390,False,False,True,EARLE D JONES ELEMENTARY SCHOOL,18227000,2955,23308000,2780,0.2574,-389358,-998,True,True,,,
Mayfield Independent,2103900,2005,2,589,True,False,True,LONGFELLOW ELEMENTARY SCHOOL; SPARKS ELEMENTARY SCHOOL,11240000,1612,14375000,1574,0.2574,-241816,-411,True,True,,,
McCracken County,2103960,2013,3,1893,False,False,True,HEATH HIGH SCHOOL; LONE OAK HIGH SCHOOL; REIDLAND HIGH SCHOOL,58133000,7130,63026000,7076,0.0374,-2720192,-1437,True,True,55.5,62.5,0.5
McCracken County,2103960,2015,1,488,True,False,True,Farley Elementary School,58858000,6929,71711000,7088,0.1627,-3275156,-6711,True,True,61.5,63.0,-1.0
McCreary County,2103990,2005,6,1807,True,True,True,EAGLE ELEMENTARY SCHOOL; WHITLEY CITY MIDDLE SCHOOL; PINE KNOT ELEMENTARY SCHOOL; PINE KNOT MIDDLE SCHOOL; SMITHTOWN ELEMENTARY SCHOOL; STEARNS ELEMENTARY SCHOOL,25143000,3412,29715000,3247,0.2574,1899825,1051,True,True,,,
McCreary County,2103990,2014,1,55,False,False,False,PINE KNOT CAREER INSTITUTE,29302000,3087,29814000,2974,0.0667,1440989,26200,False,True,40.0,49.0,7.5
McCreary County,2103990,2020,1,75,False,False,False,McCreary Academy,,,,,,,,,False,,,
